postcode,eastings,northings,source
BH23 1DN,415912,92795,postcodes
BH23 1JF,415498,92623,postcodes
BH23 3AU,417337,93507,postcodes
BH23 4QD,419688,94144,postcodes
BH23 6BP,409686,97890,postcodes
BH23 8EE,418719,100477,postcodes
BH24 1SE,415370,105437,postcodes
BH24 2EB,413241,104704,postcodes
BH24 2NN,413469,104801,postcodes
BH25 6RS,423809,94609,postcodes
BH4 9NJ,407086,92434,postcodes
BH5 2DY,412465,91614,postcodes
BH6 4AH,414740,91547,postcodes
BH7 6NY,412265,93232,postcodes
BH8 8TH,410213,93062,postcodes
BH8 9PW,410715,94238,postcodes
BH8 9PY,410083,94343,postcodes
BH8 9UJ,410478,94586,postcodes
BH9 1AJ,409541,93084,postcodes
BL0 0RT,381361,417293,postcodes
BL1 3QE,371305,410820,postcodes
BL1 3UB,371124,410415,postcodes
BL1 4PA,369981,409347,postcodes
BL1 4PB,369981,409347,postcodes
BL1 6PQ,370734,411734,postcodes
BL1 8LX,371680,410866,postcodes
BL2 3BP,373025,411807,postcodes
BL2 4HU,374352,410729,postcodes
BL2 6PD,374514,409512,postcodes
BL3 2EF,371880,407081,postcodes
BL3 2RR,372412,407818,postcodes
BL3 4HE,369749,407897,postcodes
BL3 4TP,368571,408088,postcodes
BL3 5AG,370929,408612,postcodes
BL3 5BG,371154,408769,postcodes
BL3 5BU,371232,408782,postcodes
BL6 7RU,363763,412782,postcodes
BL6 7RX,363517,413049,postcodes
BL7 9AB,372607,412804,postcodes
BL7 9LT,372794,413130,postcodes
BL8 2BS,379130,410108,postcodes
BL8 4NG,378031,415885,postcodes
BL9 0BG,380497,410154,postcodes
BL9 0HN,379907,410518,postcodes
BL9 6JD,381843,411696,postcodes
BL9 9BB,380310,409856,postcodes
BN1 3AT,530214,104746,postcodes
BN1 4SB,531455,105082,postcodes
BN1 6WQ,530864,107431,postcodes
BN1 9PW,534441,108236,postcodes
BN11 1UG,514540,103243,postcodes
BN11 2LY,515980,103111,postcodes
BN11 4BL,514431,102756,postcodes
BN12 5AF,510449,103120,postcodes
BN13 1JX,512104,104337,postcodes
BN15 0RW,519422,106480,postcodes
BN15 8AN,518263,104160,postcodes
BN15 9QZ,517609,105221,postcodes
BN16 4HH,506898,103538,postcodes
BN17 6FE,503215,102593,postcodes
BN18 0RH,496003,108490,postcodes
BN2 0AF,532667,104058,postcodes
BN2 0AL,532406,104087,postcodes
BN2 0LS,532564,104089,postcodes
BN2 5RQ,534960,103192,postcodes
BN2 6BB,535428,105832,postcodes
BN2 7BA,535594,103613,postcodes
BN21 2UF,560249,101276,postcodes
BN21 4JX,560920,98372,postcodes
BN22 8HR,561693,99850,postcodes
BN23 8EJ,561605,103853,postcodes
BN25 2JB,548577,100718,postcodes
BN25 4LX,549437,98938,postcodes
BN27 3QH,555082,109771,postcodes
BN3 3ER,529521,105278,postcodes
BN3 4FH,528292,104826,postcodes
BN3 6EG,530000,105923,postcodes
BN3 6ND,529775,105758,postcodes
BN3 7BN,528268,106172,postcodes
BN3 8BN,527358,107502,postcodes
BN41 2WS,524992,107180,postcodes
BN43 6YT,523499,105520,postcodes
BN44 3RX,517581,111754,postcodes
BN6 9HT,526732,118458,postcodes
BN6 9JS,529021,117571,postcodes
BN7 1XS,541151,110005,postcodes
BN7 3AE,535849,113500,postcodes
BN7 3EY,541222,106513,postcodes
BN7 3NF,540249,108268,postcodes
BN8 4EF,538378,121024,postcodes
BR1 2TW,543210,168259,postcodes
BR1 3HY,540925,169879,postcodes
BR1 5EB,540283,171807,postcodes
BR1 5LE,539970,172330,postcodes
BR2 7AB,540912,165589,postcodes
BR2 7AG,539695,165532,postcodes
BR2 7DB,540620,165814,postcodes
BR2 8HE,541685,167255,postcodes
BR2 8HP,541797,165342,postcodes
BR2 8HZ,542413,166807,postcodes
BR2 8LD,542315,166633,postcodes
BR2 9EH,540682,168046,postcodes
BR3 1QR,536154,170469,postcodes
BR3 3BE,537998,167337,postcodes
BR3 3BP,537937,167404,postcodes
BR3 3RD,536452,168281,postcodes
BR3 3SJ,537359,168677,postcodes
BR4 9AE,539022,165858,postcodes
BR5 3HS,547397,169336,postcodes
BR5 4EP,547940,167642,postcodes
BR5 4LG,547240,165902,postcodes
BR6 0TE,546394,166195,postcodes
BR6 7PH,548873,164181,postcodes
BR6 8ER,543751,164996,postcodes
BR6 9BD,547748,165554,postcodes
BR6 9SA,544739,165247,postcodes
BR6 9SH,546565,165188,postcodes
BR7 5ES,542509,170782,postcodes
BR7 5LJ,542533,169755,postcodes
BR7 5PS,544319,169675,postcodes
BR7 6FG,543994,171772,postcodes
BR7 6HE,545368,170915,postcodes
BR7 6LR,544956,170418,postcodes
BR7 6SD,545071,170932,postcodes
BR8 7TE,550995,168634,postcodes
BR8 8DR,552507,168344,postcodes
BS1 5TS,358349,172641,postcodes
BS1 5UA,358005,172613,postcodes
